year,country,total,diplomacy,government business,professor,art,religion,news_report,Investment,Business_Management,legal_accounting,medical_treatment,research,education,technology,engineer_specialist_Humanities_international_services,intra_company_transferees,nursing_care,performance,skill,highly_skilled_professional_num1a,highly_skilled_professional_num1b,highly_skilled_professional_num1c,highly_skilled_professional_num2,specified_skill_num1,specified_skill_num2,technical_intern_training_num1b,technical_intern_training_num1b,technical_intern_training_num2a,technical_intern_training_num2b,technical_intern_training_num3a,technical_intern_training_num3b,cultural_activities,short_term_stay,short_term_15days_less,short_term_90days_less,studying_abroad,training,family_stay,specific_activities,permanent_resident,spouses_of_japanese_other,spouses_permanent_residents,settlers,special_permanent_resident
2023,Brazil,79050,255,265,87,18,85,0,NA,36,0,3,24,26,NA,626,106,0,467,79,29,102,4,0,2,0,11,0,0,0,0,0,50,46297,12031,34266,883,233,651,79,12710,2613,610,12694,5
2022,Brazil,32788,188,108,43,4,63,0,NA,19,0,1,12,17,NA,408,45,0,342,49,13,59,4,0,1,0,6,0,0,0,0,0,34,6552,2255,4297,752,110,531,64,7932,2630,422,12378,1
2021,Brazil,10959,86,16,13,0,8,0,NA,6,0,0,3,3,NA,108,9,0,167,24,0,12,4,0,0,0,0,0,0,0,0,0,6,1744,14,1730,137,0,291,93,2881,1474,195,3679,0
2020,Brazil,23305,103,35,29,2,24,1,NA,17,0,0,7,15,NA,474,76,0,204,39,4,37,4,0,0,0,0,0,0,0,0,0,13,4709,1752,2957,355,52,581,49,7199,1676,321,7277,2
2019,Brazil,93948,332,294,128,20,98,17,NA,119,1,2,20,34,NA,1418,265,0,695,153,10,131,16,0,0,0,17,0,0,0,0,0,77,40720,15592,25128,878,225,1418,97,19975,4785,646,21349,8
2018,Brazil,86581,323,224,118,12,111,10,NA,126,1,0,30,38,NA,1022,306,0,606,106,8,74,5,2,NA,NA,22,0,0,0,0,0,66,38364,15240,23124,770,280,1097,57,18562,4726,563,18946,6
2017,Brazil,80294,328,231,114,20,107,12,NA,83,0,0,19,30,NA,729,283,0,647,72,10,16,14,0,NA,NA,16,0,0,0,0,0,46,37158,14491,22667,642,305,920,52,17779,4085,451,16124,1
2016,Brazil,71486,308,232,87,29,88,9,NA,81,0,0,20,30,NA,525,304,NA,515,53,3,5,6,0,NA,NA,10,0,0,0,NA,NA,63,32183,12442,19741,609,304,674,60,16380,4190,422,14290,6
2015,Brazil,64096,204,201,86,13,77,11,NA,70,0,0,20,24,NA,400,363,NA,583,43,2,1,3,0,NA,NA,14,0,0,0,NA,NA,89,29582,12594,16988,791,293,569,94,15699,3319,406,11134,5
2014,Brazil,57151,186,241,72,11,78,21,82,NA,0,0,37,21,192,166,433,NA,498,39,NA,NA,NA,NA,NA,NA,43,0,0,0,NA,NA,93,28123,12009,16114,776,284,654,84,13923,2786,331,7969,8
2013,Brazil,49677,218,173,64,12,75,19,89,NA,0,0,35,13,152,107,345,NA,522,22,NA,NA,NA,NA,NA,NA,22,0,0,0,NA,NA,59,23256,10087,13169,517,274,517,50,12963,2659,304,7206,4
2012,Brazil,57191,242,222,73,15,64,9,121,NA,0,0,39,15,106,106,338,NA,484,31,NA,NA,NA,NA,NA,NA,2,1,0,0,NA,NA,40,28411,16454,11957,432,312,509,51,13584,3100,354,8528,2
2011,Brazil,43660,207,177,84,6,67,15,154,NA,0,0,40,9,108,88,285,NA,559,45,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,32,15177,7083,8094,441,279,548,55,13193,3211,294,8578,4
2010,Brazil,45733,240,236,86,15,89,10,114,NA,0,0,42,7,87,118,346,NA,604,79,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,15,17493,7802,9691,496,393,601,51,11498,3662,285,9132,2
2009,Brazil,37380,162,182,59,14,64,13,125,NA,0,0,24,6,65,120,344,NA,736,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12920,5827,7093,499,269,626,35,9519,3523,208,7694,3
2008,Brazil,69692,214,284,54,18,89,8,137,NA,0,0,12,10,77,148,387,NA,886,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16600,6957,9643,452,234,621,49,13841,9738,369,25275,4
2007,Brazil,80912,192,107,65,24,81,10,151,NA,0,0,24,8,90,129,407,NA,877,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,14626,5688,8938,474,317,694,65,13370,13909,341,34744,4
2006,Brazil,85592,160,128,49,21,84,7,139,NA,0,0,13,9,100,141,276,NA,992,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,13944,3728,10216,479,285,678,56,11130,17043,285,39371,3
